15/11/2019/19:4:21,  Z = 87c4
15/11/2019/19:4:31,  X = 83c4
15/11/2019/19:4:31,  Y = 85c4
15/11/2019/19:4:31,  Z = 87c4
15/11/2019/19:4:41,  X = 83c4
15/11/2019/19:4:41,  Y = 85c4
15/11/2019/19:4:41,  Z = 87c4
15/11/2019/19:4:51,  X = 83c4
15/11/2019/19:4:51,  Y = 85c4
15/11/2019/19:4:51,  Z = 87c4
15/11/2019/19:5:1,  X = 8319
15/11/2019/19:5:1,  Y = 8519
15/11/2019/19:5:1,  Z = 8719
15/11/2019/19:5:11,  X = 831a
15/11/2019/19:5:11,  Y = 851a
15/11/2019/19:5:11,  Z = 871a
15/11/2019/19:5:21,  X = 831a
15/11/2019/19:5:21,  Y = 851a
15/11/2019/19:5:21,  Z = 871a
15/11/2019/19:5:31,  X = 831a
15/11/2019/19:5:31,  Y = 851a
15/11/2019/19:5:31,  Z = 871a
15/11/2019/19:5:41,  X = 831b
15/11/2019/19:5:41,  Y = 851b
15/11/2019/19:5:41,  Z = 871b
15/11/2019/19:5:51,  X = 831a
15/11/2019/19:5:51,  Y = 851a
15/11/2019/19:5:51,  Z = 871a
15/11/2019/19:6:1,  X = 831a
15/11/2019/19:6:1,  Y = 851a
15/11/2019/19:6:1,  Z = 871a
15/11/2019/19:6:11,  X = 831a
15/11/2019/19:6:11,  Y = 851a
15/11/2019/19:6:11,  Z = 871a
15/11/2019/19:6:21,  X = 8322
15/11/2019/19:6:21,  Y = 8522
15/11/2019/19:6:21,  Z = 8722
15/11/2019/19:6:31,  X = 8331
