15/11/2019/18:7:48,  X = 1007
15/10/2019/18:7:48,  Y = 40fc
15/10/2019/18:7:48,  Z = 30c4
15/11/2019/18:9:41,  X = 4011
15/10/2019/18:9:41,  Y = b016
15/10/2019/18:9:41,  Z = 50cb
15/11/2019/18:9:51,  X = c004
15/10/2019/18:9:51,  Y = 70fe
15/10/2019/18:9:51,  Z = 30c4
15/11/2019/18:10:1,  X = c004
15/10/2019/18:10:1,  Y = b0fe
15/10/2019/18:10:1,  Z = 40c4
15/11/2019/18:10:11,  X = 0005
15/10/2019/18:10:11,  Y = 50fe
15/10/2019/18:10:11,  Z = 70c4
15/11/2019/18:10:21,  X = 0005
15/10/2019/18:10:21,  Y = 30fe
15/10/2019/18:10:21,  Z = f0c3
15/11/2019/18:10:31,  X = a003
15/10/2019/18:10:31,  Y = 3000
15/10/2019/18:10:31,  Z = e0c3
15/11/2019/18:10:41,  X = e005
15/10/2019/18:10:41,  Y = 50fe
15/10/2019/18:10:41,  Z = 00c3
15/11/2019/19:1:50,  X = e0f0
15/11/2019/19:1:50,  Y = f027
15/11/2019/19:1:51,  Z = 50d7
15/11/2019/19:2:0,  X = 70ed
15/11/2019/19:2:0,  Y = 302a
15/11/2019/19:2:1,  Z = 80d9
15/11/2019/19:2:10,  X = b0ed
15/11/2019/19:2:10,  Y = 4029
15/11/2019/19:2:11,  Z = 70dc
15/11/2019/19:2:20,  X = 40d2
15/11/2019/19:2:21,  Y = 9021
15/11/2019/19:2:21,  Z = 50ed
15/11/2019/19:2:30,  X = 50d2
15/11/2019/19:2:30,  Y = 1024
15/11/2019/19:2:31,  Z = c0eb
15/11/2019/19:2:40,  X = 60d1
15/11/2019/19:2:41,  Y = 1027
15/11/2019/19:2:41,  Z = 90f6
15/11/2019/19:2:50,  X = e0d5
15/11/2019/19:2:50,  Y = 2024
15/11/2019/19:2:51,  Z = c0e6
15/11/2019/19:3:0,  X = 90cc
15/11/2019/19:3:0,  Y = e013
15/11/2019/19:3:1,  Z = e0e7
15/11/2019/19:3:10,  X = 80cb
15/11/2019/19:3:10,  Y = a012
15/11/2019/19:3:11,  Z = 30e7
15/11/2019/19:3:20,  X = f0cf
15/11/2019/19:3:20,  Y = 4014
15/11/2019/19:3:21,  Z = 90e3
15/11/2019/19:3:30,  X = d0de
15/11/2019/19:3:31,  Y = 901b
15/11/2019/19:3:31,  Z = b0d6
15/11/2019/19:3:40,  X = 30d7
15/11/2019/19:3:40,  Y = 201f
15/11/2019/19:3:41,  Z = 90dc
15/11/2019/19:3:50,  X = a0da
15/11/2019/19:3:51,  Y = f01d
15/11/2019/19:3:51,  Z = 50e0
15/11/2019/19:4:0,  X = a0cb
15/11/2019/19:4:1,  Y = 1016
15/11/2019/19:4:1,  Z = 20ee
15/11/2019/19:4:10,  X = 90fc
15/11/2019/19:4:11,  Y = 30fe
15/11/2019/19:4:11,  Z = e0c4
15/11/2019/19:4:20,  X = e0fc
15/11/2019/19:4:20,  Y = 00ff
15/11/2019/19:4:21,  Z = 70c4
15/11/2019/19:4:30,  X = d0f9
15/11/2019/19:4:30,  Y = 60fb
15/11/2019/19:4:31,  Z = b0c4
15/11/2019/19:4:40,  X = 80fa
15/11/2019/19:4:41,  Y = 60fe
15/11/2019/19:4:41,  Z = a0c4
15/11/2019/19:4:50,  X = 40fa
15/11/2019/19:4:50,  Y = 70fe
15/11/2019/19:4:51,  Z = 20c4
15/11/2019/19:5:0,  X = 4019
15/11/2019/19:5:0,  Y = 30cb
15/11/2019/19:5:1,  Z = 8019
15/11/2019/19:5:10,  X = 6019
15/11/2019/19:5:11,  Y = 30cb
15/11/2019/19:5:11,  Z = 501a
15/11/2019/19:5:20,  X = 6019
15/11/2019/19:5:21,  Y = 60cb
15/11/2019/19:5:21,  Z = 501a
15/11/2019/19:5:30,  X = 5019
15/11/2019/19:5:31,  Y = 50cb
15/11/2019/19:5:31,  Z = 401a
15/11/2019/19:5:40,  X = 7019
15/11/2019/19:5:41,  Y = 70cb
15/11/2019/19:5:41,  Z = 001b
15/11/2019/19:5:50,  X = 5019
15/11/2019/19:5:50,  Y = 60cb
15/11/2019/19:5:51,  Z = 901a
15/11/2019/19:6:0,  X = 5019
15/11/2019/19:6:0,  Y = 60cb
15/11/2019/19:6:1,  Z = a01a
15/11/2019/19:6:10,  X = 5019
15/11/2019/19:6:11,  Y = 60cb
15/11/2019/19:6:11,  Z = 101a
15/11/2019/19:6:20,  X = 4021
15/11/2019/19:6:20,  Y = 60dd
15/11/2019/19:6:21,  Z = f022
15/11/2019/19:6:30,  X = 1002
15/11/2019/19:6:30,  Y = c0d6
15/11/2019/19:6:31,  Z = 3031
15/11/2019/19:6:40,  X = f001
15/11/2019/19:6:41,  Y = f0d6
15/11/2019/19:6:41,  Z = 2031
15/11/2019/19:6:50,  X = 6002
15/11/2019/19:6:51,  Y = f0d6
15/11/2019/19:6:51,  Z = e030
15/11/2019/19:7:0,  X = d001
15/11/2019/19:7:1,  Y = b0d5
15/11/2019/19:7:1,  Z = c02f
15/11/2019/19:7:10,  X = 0002
15/11/2019/19:7:11,  Y = a0d7
15/11/2019/19:7:11,  Z = 8031
15/11/2019/19:7:20,  X = f001
15/11/2019/19:7:21,  Y = 10da
15/11/2019/19:7:21,  Z = 9033
15/11/2019/19:7:30,  X = 3002
15/11/2019/19:7:30,  Y = 50d7
15/11/2019/19:7:31,  Z = 0031
15/11/2019/19:7:40,  X = c001
15/11/2019/19:7:41,  Y = 20d8
15/11/2019/19:7:41,  Z = 8032
15/11/2019/19:7:50,  X = 6002
15/11/2019/19:7:51,  Y = 30d6
15/11/2019/19:7:51,  Z = 8030
15/11/2019/19:8:0,  X = e001
15/11/2019/19:8:1,  Y = 40d6
15/11/2019/19:8:1,  Z = 6030
15/11/2019/19:8:10,  X = c000
15/11/2019/19:8:11,  Y = a0d8
